I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-10.000000000000044,-0.0,10.000000000000044,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,50.00000000000022,80.00000000000036,-0.0,-0.0
-20.00000000000009,-0.0,10.000000000000044,10.000000000000044,-10.000000000000044,-0.0,-20.00000000000009,-0.0,120.00000000000054,200.00000000000088,60.00000000000027,50.00000000000022
-20.00000000000009,-0.0,10.000000000000044,10.000000000000044,-10.000000000000044,-0.0,-40.00000000000018,10.000000000000044,200.00000000000088,360.0000000000016,200.00000000000088,150.00000000000065
-20.00000000000009,-0.0,10.000000000000044,10.000000000000044,-10.000000000000044,-0.0,-80.00000000000036,10.000000000000044,260.00000000000114,540.0000000000024,420.0000000000019,330.0000000000015
-20.00000000000009,-0.0,10.000000000000044,10.000000000000044,-10.000000000000044,-0.0,-150.00000000000065,-50.00000000000022,300.0000000000013,710.0000000000032,710.0000000000032,560.0000000000025
-20.00000000000009,-0.0,10.000000000000044,10.000000000000044,-10.000000000000044,-0.0,-240.00000000000108,-170.00000000000077,260.00000000000114,820.0000000000036,1020.0000000000045,830.0000000000036
-20.00000000000009,-0.0,-0.0,10.000000000000044,-10.000000000000044,-0.0,-340.00000000000153,-340.00000000000153,170.00000000000077,860.0000000000039,1300.0000000000057,1100.0000000000048
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-450.000000000002,-560.0000000000025,30.000000000000135,780.0000000000034,1510.0000000000066,1330.000000000006
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-560.0000000000025,-800.0000000000035,-150.00000000000065,620.0000000000027,1610.000000000007,1470.0000000000066
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-630.0000000000028,-1020.0000000000045,-180.0000000000008,390.0000000000017,1540.0000000000068,1500.0000000000066
-20.00000000000009,-10.000000000000044,10.000000000000044,10.000000000000044,-10.000000000000044,-0.0,-670.000000000003,-180.0000000000008,-190.00000000000085,150.00000000000065,1370.0000000000061,1420.0000000000064
-20.00000000000009,-10.000000000000044,10.000000000000044,10.000000000000044,-10.000000000000044,-0.0,-670.000000000003,-190.00000000000085,-210.00000000000094,-110.00000000000048,1110.000000000005,1260.0000000000057
-20.00000000000009,-10.000000000000044,10.000000000000044,10.000000000000044,-10.000000000000044,-0.0,-640.0000000000028,-210.00000000000094,-220.00000000000097,-260.00000000000114,820.0000000000036,1060.0000000000048
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-580.0000000000026,-220.00000000000097,-240.00000000000108,-240.00000000000108,530.0000000000024,830.0000000000036
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-500.0000000000022,-240.00000000000108,-260.00000000000114,-260.00000000000114,280.00000000000125,600.0000000000026
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-410.0000000000018,-260.00000000000114,-290.0000000000013,-290.0000000000013,80.00000000000036,400.00000000000176
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-290.0000000000013,-290.0000000000013,-320.0000000000014,-340.00000000000153,-50.00000000000022,240.00000000000108
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-290.0000000000013,-320.0000000000014,-370.00000000000165,-350.00000000000153,-120.00000000000054,130.00000000000057
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-160.0000000000007,-430.00000000000193,-320.0000000000014,-240.00000000000108,-150.00000000000065,60.00000000000027
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-100.00000000000044,-340.00000000000153,-180.0000000000008,-150.00000000000065,-130.00000000000057,20.00000000000009
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-50.00000000000022,-210.00000000000094,-100.00000000000044,-90.0000000000004,-100.00000000000044,10.000000000000044
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-20.00000000000009,-120.00000000000054,-40.00000000000018,-40.00000000000018,-70.00000000000031,10.000000000000044
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-50.00000000000022,-10.000000000000044,-20.00000000000009,-50.00000000000022,-0.0
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-40.00000000000018,-0.0
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,20.00000000000009,30.000000000000135,20.00000000000009,-0.0,-50.00000000000022,-0.0
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,30.000000000000135,50.00000000000022,30.000000000000135,-0.0,-50.00000000000022,-10.000000000000044
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,50.00000000000022,70.00000000000031,40.00000000000018,-0.0,-50.00000000000022,-20.00000000000009
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,50.00000000000022,90.0000000000004,50.00000000000022,20.00000000000009,-40.00000000000018,-20.00000000000009
